1033 0.327 0.7260
1078 0.363 0.8470
1127 0.392 0.9460
1181 0.423 1.0400
1240 0.459 1.1400
1305 0.497 1.2400
1378 0.543 1.3500
1459 0.597 1.4700
1550 0.660 1.6000
1653 0.735 1.7400
1771 0.832 1.8900
1907 0.951 2.0700
2066 1.110 2.2800
2254 1.350 2.5100
2480 1.690 2.7600
2583 1.860 2.8500
2695 2.070 2.9300
2818 2.300 2.9900
2952 2.560 3.0400
3100 2.870 3.0600
3263 3.210 3.0000
3444 3.550 2.8800
3543 3.730 2.7900
3647 3.900 2.6600
3875 4.170 2.3800
4133 4.380 2.0200
4428 4.470 1.6400
4769 4.490 1.2800
4960 4.470 1.1200
5166 4.460 0.9690
5636 4.360 0.6900
6199 4.230 0.4610
6526 4.170 0.3630
6888 4.090 0.2710
7293 4.010 0.1990
7749 3.930 0.1360
8266 3.860 0.0812
8856 3.770 0.0401
9538 3.680 0.0000
10330 3.610 0.0000
11270 3.570 0.0000
12400 3.540 0.0000
13780 3.500 0.0000
15500 3.480 0.0000
17710 3.450 0.0000
20660 3.440 0.0000
