0.1000	0.2726	1.971
0.1020	0.4354	2.009
0.1041	0.5839	2.048
0.1062	0.7189	2.088
0.1083	0.8416	2.130
0.1105	0.9527	2.173
0.1128	1.053	2.217
0.1151	1.144	2.262
0.1174	1.227	2.309
0.1198	1.302	2.357
0.1222	1.370	2.406
0.1247	1.434	2.456
0.1273	1.492	2.508
0.1299	1.547	2.560
0.1326	1.600	2.614
0.1353	1.651	2.668
0.1381	1.702	2.723
0.1410	1.753	2.779
0.1439	1.805	2.835
0.1469	1.860	2.891
0.1500	1.917	2.946
0.1532	1.977	3.000
0.1564	2.042	3.054
0.1597	2.112	3.105
0.1632	2.187	3.154
0.1667	2.267	3.201
0.1703	2.353	3.243
0.1740	2.445	3.281
0.1778	2.543	3.313
0.1817	2.647	3.339
0.1857	2.756	3.358
0.1899	2.871	3.368
0.1941	2.991	3.370
0.1985	3.115	3.361
0.2030	3.242	3.342
0.2077	3.372	3.311
0.2125	3.503	3.269
0.2175	3.635	3.214
0.2226	3.766	3.148
0.2279	3.894	3.069
0.2333	4.020	2.979
0.2390	4.140	2.879
0.2448	4.254	2.769
0.2509	4.360	2.650
0.2571	4.457	2.525
0.2636	4.543	2.394
0.2704	4.619	2.259
0.2774	4.682	2.121
0.2846	4.732	1.983
0.2922	4.769	1.845
0.3000	4.793	1.709
0.3082	4.803	1.576
0.3167	4.800	1.446
0.3255	4.786	1.321
0.3348	4.762	1.202
0.3444	4.728	1.087
0.3545	4.686	0.9791
0.3651	4.639	0.8769
0.3762	4.587	0.7809
0.3878	4.533	0.6910
0.4000	4.477	0.6070
0.4128	4.422	0.5290
0.4263	4.366	0.4566
0.4405	4.310	0.3895
0.4556	4.254	0.3276
0.4714	4.197	0.2705
0.4882	4.139	0.2180
0.5061	4.078	0.1697
0.5250	4.015	0.1255
0.5452	3.951	0.08492
0.5667	3.888	0.04783
0.5897	3.827	0.01393
0.6143	3.773	0
0.6407	3.725	0
0.6692	3.683	0
0.7000	3.645	0
0.7333	3.610	0
0.7696	3.575	0
0.8091	3.544	0
0.8524	3.520	0
0.9000	3.503	0
0.9526	3.487	0
1.011	3.471	0
1.076	3.460	0
1.150	3.441	0
1.233	3.409	0
1.329	3.394	0
1.438	3.382	0
1.567	3.364	0
1.718	3.345	0
1.900	3.328	0
